,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,1,Petr Cech,Goalkeeper,1.96 m6-5,90 kg198 lbs,5/20/1982      ,"Plzen, Czechoslovakia "
1,50,Dejan Iliev,Goalkeeper,1.95 m6-5,87 kg192 lbs,2/25/1995      ,"Strumica, Macedonia "
2,19,Bernd Leno,Goalkeeper,1.90 m6-3,83 kg183 lbs,3/4/1992      ,"Bietigheim-Bissingen, Germany "
3,2,Héctor Bellerín,Defender,1.77 m5-10,74 kg163 lbs,3/19/1995      ,"Barcelona, Spain "
4,16,Rob Holding,Defender,1.83 m6-0,75 kg165 lbs,9/20/1995      ,"Tameside, England "
5,25,Carl Jenkinson,Defender,1.85 m6-1,77 kg170 lbs,2/8/1992      ,"Harlow, England "
6,31,Sead Kolasinac,Defender,1.83 m6-0,85 kg187 lbs,6/20/1993      ,"Karlsruhe, Germany "
7,6,Laurent Koscielny,Defender,1.85 m6-1,75 kg165 lbs,9/10/1985      ,"Tulle, France "
8,12,Stephan Lichtsteiner,Defender,1.81 m5-11,77 kg170 lbs,1/16/1984      ,"Adligenswil, Switzerland "
9,27,Konstantinos Mavropanos,Defender,1.94 m6-4,80 kg176 lbs,12/11/1997      ,"Athens, Greece "
10,47,Zech Medley,Defender,,,7/9/2000      ,"London, England "
11,18,Nacho Monreal,Defender,1.79 m5-10,72 kg159 lbs,2/26/1986      ,"Pamplona, Spain "
12,20,Shkodran Mustafi,Defender,1.84 m6-0,82 kg181 lbs,4/17/1992      ,"Bad Hersfeld, Germany "
13,5,Sokratis Sokratis,Defender,1.86 m6-1,85 kg187 lbs,6/9/1988      ,"Kalamata, Greece "
14,53,Julio Pleguezuelo,Defender,,,1/26/1997      ,"Palma de Mallorca, Spain "
15,4,Mohamed Elneny,Midfielder,1.81 m5-11,74 kg163 lbs,7/11/1992      ,"El-Mahalla El-Kubra, Egypt "
16,43,Charlie Gilmour,Midfielder,,,2/11/1999      ,"Brighton, England "
17,29,Matteo Guendouzi,Midfielder,1.80 m5-11,68 kg150 lbs,4/14/1999      ,"Poissy, France "
18,17,Alex Iwobi,Midfielder,1.85 m6-1,86 kg190 lbs,5/3/1996      ,"Lagos, Nigeria "
19,15,Ainsley Maitland-Niles,Midfielder,1.77 m5-10,71 kg157 lbs,8/29/1997      ,"Goodmayes, England "
20,7,Henrikh Mkhitaryan,Midfielder,1.77 m5-10,75 kg165 lbs,1/21/1989      ,"Yerevan, USSR "
21,10,Mesut Özil,Midfielder,1.80 m5-11,70 kg154 lbs,10/15/1988      ,"Gelsenkirchen, West Germany "
22,8,Aaron Ramsey,Midfielder,1.78 m5-10,76 kg168 lbs,12/26/1990      ,"Caerphilly, Wales "
23,22,Denis Suárez,Midfielder,1.76 m5-9,69 kg152 lbs,1/6/1994      ,"Salceda de Caselas, Spain "
24,11,Lucas Torreira,Midfielder,1.68 m5-6,61 kg134 lbs,2/11/1996      ,"Fray Bentos, Uruguay "
25,59,Joe Willock,Midfielder,1.79 m5-10,,8/20/1999      ,"Waltham Forest, England "
26,34,Granit Xhaka,Midfielder,1.83 m6-0,82 kg181 lbs,9/27/1992      ,"Basel, Switzerland "
27,14,Pierre-Emerick Aubameyang,Forward,1.87 m6-2,74 kg163 lbs,6/18/1989      ,"Laval, France "
28,72,Tyreece John-Jules,Forward,,,, 
29,9,Alexandre Lacazette,Forward,1.75 m5-9,73 kg161 lbs,5/28/1991      ,"Lyon, France "
30,49,Eddie Nketiah,Forward,1.75 m5-9,70 kg154 lbs,5/30/1999      ,"Lewisham, England "
31,87,Bukayo Saka,Forward,,,9/5/2001      , 
32,23,Danny Welbeck,Forward,1.84 m6-0,78 kg172 lbs,11/26/1990      ,"Longsight, England "
