,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,27,Asmir Begovic,Goalkeeper,1.99 m6-6,101 kg223 lbs,6/20/1987      ,"Trebinje, Yugoslavia "
1,1,Artur Boruc,Goalkeeper,1.93 m6-4,87 kg192 lbs,2/20/1980      ,"Siedlce, Poland "
2,42,Mark Travers,Goalkeeper,1.91 m6-3,82 kg181 lbs,5/18/1999      , 
3,5,Nathan Aké,Defender,1.80 m5-11,75 kg165 lbs,2/18/1995      ,"The Hague, Netherlands "
4,23,Nathaniel Clyne,Defender,1.75 m5-9,67 kg148 lbs,4/5/1991      ,"Stockwell, England "
5,3,Steve Cook,Defender,1.85 m6-1,82 kg181 lbs,4/19/1991      ,"Hastings, England "
6,11,Charlie Daniels,Defender,1.78 m5-10,75 kg165 lbs,9/7/1986      ,"Harlow, England "
7,2,Simon Francis,Defender,1.83 m6-0,90 kg198 lbs,2/16/1985      ,"Nottingham, England "
8,33,Chris Mepham,Defender,1.91 m6-3,75 kg165 lbs,11/5/1997      ,"Hammersmith, England "
9,21,Diego Rico,Defender,1.81 m5-11,75 kg165 lbs,2/23/1993      ,"Burgos, Spain "
10,25,Jack Simpson,Defender,1.78 m5-10,83 kg183 lbs,1/8/1997      ,"Wandsworth, England "
11,15,Adam Smith,Defender,1.80 m5-11,78 kg172 lbs,4/29/1991      ,"Leytonstone, England "
12,20,David Brooks,Midfielder,1.66 m5-5,62 kg137 lbs,7/8/1997      ,"Warrington, England "
13,36,Matt Butcher,Midfielder,1.88 m6-2,82 kg181 lbs,5/14/1997      ,"Reading, England "
14,16,Lewis Cook,Midfielder,1.75 m5-9,71 kg157 lbs,2/3/1997      ,"York, England "
15,24,Ryan Fraser,Midfielder,1.63 m5-4,70 kg154 lbs,2/24/1994      ,"Aberdeen, Scotland "
16,4,Dan Gosling,Midfielder,1.83 m6-0,79 kg174 lbs,2/1/1990      ,"Brixham, England "
17,22,Emerson Hyndman,Midfielder,1.70 m5-7,61 kg134 lbs,4/9/1996      ,"Dallas, Texas "
18,10,Jordon Ibe,Midfielder,1.76 m5-9,81 kg179 lbs,12/8/1995      ,"London, England "
19,8,Jefferson Lerma,Midfielder,1.79 m5-10,70 kg154 lbs,10/25/1994      ,"Cerrito, Colombia "
20,59,Nnamdi Ofoborh,Midfielder,1.83 m6-0,77 kg170 lbs,11/7/1999      ,"Southwark, England "
21,19,Junior Stanislas,Midfielder,1.83 m6-0,76 kg168 lbs,11/26/1989      ,"Kidbrooke, England "
22,6,Andrew Surman,Midfielder,1.78 m5-10,73 kg161 lbs,8/20/1986      ,"Johannesburg, South Africa "
23,28,Kyle Taylor,Midfielder,,,8/28/1990      , 
24,17,Joshua King,Forward,1.80 m5-11,74 kg163 lbs,1/15/1992      ,"Oslo, Norway "
25,9,Lys Mousset,Forward,1.84 m6-0,80 kg176 lbs,2/8/1996      ,"Le Havre, France "
26,29,Dominic Solanke,Forward,1.85 m6-1,75 kg165 lbs,9/14/1997      ,"Basingstoke, England "
27,44,Sam Surridge,Forward,1.91 m6-3,77 kg170 lbs,7/28/1998      ,"Slough, England "
28,13,Callum Wilson,Forward,1.80 m5-11,66 kg146 lbs,2/27/1992      ,"Coventry, England "
