,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,27,David Button,Goalkeeper,1.91 m6-3,87 kg192 lbs,2/27/1989      ,"Stevenage, England "
1,1,Mat Ryan,Goalkeeper,1.84 m6-0,82 kg181 lbs,4/8/1992      ,"Plumpton, Australia "
2,31,Robert Sanchez,Goalkeeper,1.97 m6-6,90 kg198 lbs,11/18/1997      ,England 
3,23,Jason Steele,Goalkeeper,1.90 m6-3,79 kg174 lbs,8/18/1990      ,"Newton Aycliffe, England "
4,14,Leon Balogun,Defender,,,6/28/1988      ,"Berlin, Germany "
5,30,Bernardo,Defender,1.86 m6-1,76 kg168 lbs,5/14/1995      ,"Sao Paulo, Brazil "
6,3,Gaëtan Bong,Defender,1.87 m6-2,74 kg163 lbs,4/25/1988      ,"Sakbayeme, Cameroon "
7,2,Bruno,Defender,1.81 m5-11,76 kg168 lbs,10/1/1980      ,"El Masnou, Spain "
8,33,Dan Burn,Defender,1.98 m6-6,87 kg192 lbs,5/9/1992      ,"Blyth, England "
9,4,Shane Duffy,Defender,1.93 m6-4,76 kg168 lbs,1/1/1992      ,"County Derry, Northern Ireland "
10,5,Lewis Dunk,Defender,1.92 m6-4,88 kg194 lbs,11/21/1991      ,"Brighton, England "
11,22,Martín Montoya,Defender,1.75 m5-9,73 kg161 lbs,4/14/1991      ,"Gava, Spain "
12,8,Yves Bissouma,Midfielder,1.82 m6-0,80 kg176 lbs,8/30/1996      ,"Issia, Ivory Coast "
13,58,Will Collar,Midfielder,,,,England 
14,13,Pascal Groß,Midfielder,1.81 m5-11,78 kg172 lbs,6/15/1991      ,"Mannheim, Germany "
15,7,Beram Kayal,Midfielder,1.78 m5-10,74 kg163 lbs,5/2/1988      ,"Jadeidi, Israel "
16,11,Anthony Knockaert,Midfielder,1.72 m5-8,69 kg152 lbs,11/20/1991      ,"Lille, France "
17,20,Solly March,Midfielder,1.80 m5-11,88 kg194 lbs,7/20/1994      ,"Eastbourne, England "
18,24,Davy Pröpper,Midfielder,1.85 m6-1,72 kg159 lbs,9/2/1991      ,"Arnhem, Netherlands "
19,41,Max Sanders,Midfielder,,,1/4/1999      ,England 
20,6,Dale Stephens,Midfielder,1.69 m5-7,71 kg157 lbs,6/12/1989      ,"Bolton, England "
21,10,Florin Andone,Forward,1.80 m5-11,78 kg172 lbs,4/11/1993      ,"Botosani, Romania "
22,42,Viktor Gyokeres,Forward,,,6/4/1998      ,Sweden 
23,19,José Izquierdo,Forward,1.71 m5-7,73 kg161 lbs,7/7/1992      ,"Pereira, Colombia "
24,16,Alireza Jahanbakhsh,Forward,1.80 m5-11,77 kg170 lbs,8/11/1993      ,"Ghazvin, Iran "
25,9,Jürgen Locadia,Forward,1.82 m6-0,79 kg174 lbs,11/7/1993      ,"Emmen, Netherlands "
26,17,Glenn Murray,Forward,1.83 m6-0,80 kg176 lbs,9/25/1983      ,"Maryport, England "
