,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,20,Joe Hart,Goalkeeper,1.96 m6-5,91 kg201 lbs,4/19/1987      ,"Shrewsbury, England "
1,1,Tom Heaton,Goalkeeper,1.88 m6-2,85 kg187 lbs,4/15/1986      ,"Chester, England "
2,30,Adam Legzdins,Goalkeeper,1.90 m6-3,78 kg172 lbs,11/28/1986      ,"Penkridge, England "
3,22,Anders Lindegaard,Goalkeeper,1.93 m6-4,80 kg176 lbs,4/13/1984      ,"Dyrup, Denmark "
4,29,Nick Pope,Goalkeeper,1.91 m6-3,76 kg168 lbs,4/19/1992      ,"Bury, England "
5,26,Phil Bardsley,Defender,1.80 m5-11,74 kg163 lbs,6/28/1985      ,"Salford, England "
6,14,Ben Gibson,Defender,1.85 m6-1,78 kg172 lbs,1/15/1993      ,"Nunthorpe, England "
7,28,Kevin Long,Defender,1.88 m6-2,83 kg183 lbs,8/18/1990      ,"Cork, Ireland "
8,2,Matthew Lowton,Defender,1.80 m5-11,78 kg172 lbs,6/9/1989      ,"Chesterfield, England "
9,6,Ben Mee,Defender,1.80 m5-11,74 kg163 lbs,9/21/1989      ,"Sale, England "
10,5,James Tarkowski,Defender,1.85 m6-1,81 kg179 lbs,11/19/1992      ,"Manchester, England "
11,3,Charlie Taylor,Defender,1.76 m5-9,70 kg154 lbs,9/18/1993      ,"York, England "
12,23,Stephen Ward,Defender,1.84 m6-0,82 kg181 lbs,8/20/1985      ,"Dublin, Ireland "
13,46,Josh Benson,Midfielder,,,12/5/1999      ,England 
14,12,Robbie Brady,Midfielder,1.76 m5-9,71 kg157 lbs,1/14/1992      ,"Dublin, Ireland "
15,4,Jack Cork,Midfielder,1.83 m6-0,70 kg154 lbs,6/25/1989      ,"Carshalton, England "
16,16,Steven Defour,Midfielder,1.73 m5-8,65 kg143 lbs,4/15/1988      ,"Mechelen, Belgium "
17,7,Johann Gudmundsson,Midfielder,1.79 m5-10,77 kg170 lbs,10/27/1990      ,"Reykjavik, Iceland "
18,13,Jeff Hendrick,Midfielder,1.85 m6-1,79 kg174 lbs,1/31/1992      ,"Dublin, Ireland "
19,25,Aaron Lennon,Midfielder,1.65 m5-5,63 kg139 lbs,4/16/1987      ,"Leeds, England "
20,18,Ashley Westwood,Midfielder,1.75 m5-9,81 kg179 lbs,4/1/1990      ,"Nantwich, England "
21,32,Daniel Agyei,Forward,1.83 m6-0,77 kg170 lbs,6/1/1997      ,"London, England "
22,10,Ashley Barnes,Forward,1.86 m6-1,77 kg170 lbs,10/30/1989      ,"Bath, England "
23,15,Peter Crouch,Forward,2.01 m6-7,75 kg165 lbs,1/30/1981      ,"Macclesfield, England "
24,31,Dwight McNeil,Forward,,,11/22/1999      ,"Rochdale, England "
25,27,Matej Vydra,Forward,1.80 m5-11,71 kg157 lbs,5/1/1992      ,"Chotebor, Czechoslovakia "
26,19,Jonathan Walters,Forward,1.83 m6-0,79 kg174 lbs,9/20/1983      ,"Birkenhead, England "
27,11,Chris Wood,Forward,1.91 m6-3,81 kg179 lbs,12/7/1991      ,"Auckland, New Zealand "
