,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,1,Neil Etheridge,Goalkeeper,1.88 m6-2,89 kg196 lbs,2/7/1990      ,"Enfield, England "
1,28,Brian Murphy,Goalkeeper,1.83 m6-0,86 kg190 lbs,5/7/1983      ,"Waterford, Ireland "
2,12,Alex Smithies,Goalkeeper,1.89 m6-2,84 kg185 lbs,3/5/1990      ,"Huddersfield, England "
3,22,Sol Bamba,Defender,1.90 m6-3,90 kg198 lbs,1/13/1985      ,"Ivry-sur-Seine, France "
4,3,Joe Bennett,Defender,1.83 m6-0,74 kg163 lbs,3/28/1990      ,"Rochdale, England "
5,16,Matthew Connolly,Defender,1.88 m6-2,84 kg185 lbs,9/24/1987      ,"Barnet, England "
6,18,Greg Cunningham,Defender,1.83 m6-0,70 kg154 lbs,1/31/1991      ,"Carnmore, Ireland "
7,5,Bruno Ecuele Manga,Defender,1.86 m6-1,75 kg165 lbs,7/16/1988      ,"Libreville, Gabon "
8,4,Sean Morrison,Defender,1.93 m6-4,78 kg172 lbs,1/8/1991      ,"Plymouth, England "
9,13,Callum Paterson,Defender,1.83 m6-0,76 kg168 lbs,10/13/1994      ,"South Queensferry, Scotland "
10,2,Lee Peltier,Defender,1.78 m5-10,73 kg161 lbs,12/11/1986      ,"Liverpool, England "
11,6,Jazz Richards,Defender,1.85 m6-1,78 kg172 lbs,4/12/1991      ,"Swansea, Wales "
12,7,Harry Arter,Midfielder,1.76 m5-9,70 kg154 lbs,12/28/1989      ,"Eltham, England "
13,15,Leandro Bacuna,Midfielder,1.87 m6-2,77 kg170 lbs,8/21/1991      ,"Groningen, Netherlands "
14,21,Víctor Camarasa,Midfielder,1.83 m6-0,76 kg168 lbs,5/28/1994      ,"Meliana, Spain "
15,20,Loïc Damour,Midfielder,1.80 m5-11,74 kg163 lbs,1/8/1991      ,"Soissy, France "
16,17,Aron Gunnarsson,Midfielder,1.81 m5-11,86 kg190 lbs,4/22/1989      ,"Akureyri, Iceland "
17,23,Kadeem Harris,Midfielder,1.75 m5-9,67 kg148 lbs,6/8/1993      ,"London, England "
18,33,David Junior Hoilett,Midfielder,1.73 m5-8,70 kg154 lbs,6/5/1990      ,"Brampton, Canada "
19,39,Lloyd Humphries,Midfielder,,,, 
20,19,Nathaniel Mendez-Laing,Midfielder,1.80 m5-11,75 kg165 lbs,4/15/1992      ,"Birmingham, England "
21,11,Josh Murphy,Midfielder,1.73 m5-8,67 kg148 lbs,2/24/1995      ,"Wembley, England "
22,8,Joe Ralls,Midfielder,1.83 m6-0,70 kg154 lbs,10/12/1993      ,"Aldershot, England "
23,14,Bobby Reid,Midfielder,1.70 m5-7,68 kg150 lbs,2/2/1993      ,"Bristol, England "
24,29,Oumar Niasse,Forward,1.82 m6-0,82 kg181 lbs,4/18/1990      ,"Oukam, Senegal "
25,9,Danny Ward,Forward,1.78 m5-10,88 kg194 lbs,12/11/1991      ,"Leeds, England "
26,10,Kenneth Zohore,Forward,1.89 m6-2,79 kg174 lbs,1/31/1994      ,"Copenhagen, Denmark "
