,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,1,Kepa Arrizabalaga,Goalkeeper,1.89 m6-2,84 kg185 lbs,10/3/1994      ,"Ondarroa, Spain "
1,59,Marcin Bulka,Goalkeeper,1.98 m6-6,,10/4/1999      ,"Plock, Poland "
2,13,Willy Caballero,Goalkeeper,1.86 m6-1,80 kg176 lbs,9/28/1981      ,"Santa Elena, Argentina "
3,31,Robert Green,Goalkeeper,1.87 m6-2,93 kg205 lbs,1/18/1980      ,"Chertsey, England "
4,3,Marcos Alonso,Defender,1.88 m6-2,84 kg185 lbs,12/28/1990      ,"Madrid, Spain "
5,28,César Azpilicueta,Defender,1.78 m5-10,78 kg172 lbs,8/28/1989      ,"Pamplona, Spain "
6,24,Gary Cahill,Defender,1.91 m6-3,85 kg187 lbs,12/19/1985      ,"Sheffield, England "
7,27,Andreas Christensen,Defender,1.92 m6-4,85 kg187 lbs,4/10/1996      ,"Lillerod, Denmark "
8,30,David Luiz,Defender,1.89 m6-2,84 kg185 lbs,4/22/1987      ,"Diadema, Brazil "
9,33,Emerson,Defender,1.76 m5-9,63 kg139 lbs,8/3/1994      ,"Santos, Brazil "
10,2,Antonio Rüdiger,Defender,1.91 m6-3,85 kg187 lbs,3/3/1993      ,"Berlin, Germany "
11,21,Davide Zappacosta,Defender,1.82 m6-0,72 kg159 lbs,6/11/1992      ,"Sora, Italy "
12,44,Ethan Ampadu,Midfielder,1.82 m6-0,72 kg159 lbs,9/14/2000      ,"Exeter, England "
13,8,Ross Barkley,Midfielder,1.85 m6-1,76 kg168 lbs,12/5/1993      ,"Liverpool, England "
14,6,Daniel Drinkwater,Midfielder,1.78 m5-10,79 kg174 lbs,3/5/1990      ,"Manchester, England "
15,10,Eden Hazard,Midfielder,1.73 m5-8,74 kg163 lbs,1/7/1991      ,"La Louviere, Belgium "
16,20,Callum Hudson-Odoi,Midfielder,1.82 m6-0,75 kg165 lbs,11/7/2000      ,"Wandsworth, England "
17,5,Jorginho,Midfielder,1.80 m5-11,65 kg143 lbs,12/20/1991      ,"Imbituba, Brazil "
18,7,N'Golo Kanté,Midfielder,1.68 m5-6,70 kg154 lbs,3/29/1991      ,"Paris, France "
19,17,Mateo Kovacic,Midfielder,1.78 m5-10,78 kg172 lbs,5/6/1994      ,"Linz, Austria "
20,12,Ruben Loftus-Cheek,Midfielder,1.90 m6-3,73 kg161 lbs,1/23/1996      ,"Lewisham, England "
21,11,Pedro,Midfielder,1.69 m5-7,65 kg143 lbs,7/28/1987      ,"Santa Cruz de Tenerife, Spain "
22,22,Willian,Midfielder,1.75 m5-9,77 kg170 lbs,8/9/1988      ,"Ribeirao Pires, Brazil "
23,18,Olivier Giroud,Forward,1.93 m6-4,91 kg201 lbs,9/30/1986      ,"Chambery, France "
24,9,Gonzalo Higuaín,Forward,1.84 m6-0,75 kg165 lbs,12/10/1987      ,"Brest, France "
