,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,31,Vicente Guaita,Goalkeeper,1.90 m6-3,80 kg176 lbs,2/18/1987      ,"Aldaia, Spain "
1,13,Wayne Hennessey,Goalkeeper,1.98 m6-6,90 kg198 lbs,1/24/1987      ,"Anglesey, Wales "
2,22,Lucas Perri,Goalkeeper,1.96 m6-5,95 kg209 lbs,12/10/1997      ,"Campinas, Brazil "
3,1,Julian Speroni,Goalkeeper,1.86 m6-1,87 kg192 lbs,5/18/1979      ,"Buenos Aires, Argentina "
4,41,Joe Tupper,Goalkeeper,,,11/15/1997      ,England 
5,6,Scott Dann,Defender,1.88 m6-2,78 kg172 lbs,2/14/1987      ,"Liverpool, England "
6,34,Martin Kelly,Defender,1.91 m6-3,77 kg170 lbs,4/27/1990      ,"Whiston, England "
7,44,Jairo Riedewald,Defender,1.82 m6-0,79 kg174 lbs,9/9/1996      ,"Haarlem, Netherlands "
8,12,Mamadou Sakho,Defender,1.87 m6-2,80 kg176 lbs,2/13/1990      ,"Paris, France "
9,15,Jeffrey Schlupp,Defender,1.78 m5-10,72 kg159 lbs,12/23/1992      ,"Hamburg, Germany "
10,27,Pape Souaré,Defender,1.78 m5-10,68 kg150 lbs,6/6/1990      ,"Mbao, Senegal "
11,5,James Tomkins,Defender,1.92 m6-4,74 kg163 lbs,3/29/1989      ,"Basildon, England "
12,3,Patrick van Aanholt,Defender,1.76 m5-9,67 kg148 lbs,8/29/1990      ,"Den Bosch, Netherlands "
13,2,Joel Ward,Defender,1.88 m6-2,83 kg183 lbs,10/29/1989      ,"Emsworth, England "
14,,Sam Woods,Defender,,,9/11/1998      ,England 
15,8,Cheikhou Kouyaté,Midfielder,1.89 m6-2,75 kg165 lbs,12/21/1989      ,"Dakar, Senegal "
16,18,James McArthur,Midfielder,1.78 m5-10,64 kg141 lbs,10/7/1987      ,"Glasgow, Scotland "
17,,Gio McGregor,Midfielder,,,1/9/1999      ,England 
18,7,Max Meyer,Midfielder,1.73 m5-8,67 kg148 lbs,9/18/1995      ,"Oberhausen, Germany "
19,4,Luka Milivojevic,Midfielder,1.86 m6-1,80 kg176 lbs,4/7/1991      ,"Kragujevac, Yugoslavia "
20,26,Bakary Sako,Midfielder,1.83 m6-0,90 kg198 lbs,4/26/1988      ,"Ivry-sur-Seine, France "
21,10,Andros Townsend,Midfielder,1.81 m5-11,77 kg170 lbs,7/16/1991      ,"Leytonstone, England "
22,11,Wilfried Zaha,Midfielder,1.80 m5-11,66 kg146 lbs,11/10/1992      ,"Abidjan, Ivory Coast "
23,14,Jordan Ayew,Forward,1.82 m6-0,81 kg179 lbs,9/11/1991      ,"Marseille, France "
24,23,Michy Batshuayi,Forward,1.85 m6-1,78 kg172 lbs,10/2/1993      ,"Brussels, Belgium "
25,17,Christian Benteke,Forward,1.90 m6-3,83 kg183 lbs,12/3/1990      ,"Kinshasa, DR Congo "
26,29,Aaron Wan-Bissaka,Forward,1.83 m6-0,72 kg159 lbs,11/26/1997      ,"Croydon, England "
27,21,Connor Wickham,Forward,1.91 m6-3,90 kg198 lbs,3/31/1993      ,"Colchester, England "
