,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,41,Mateusz Hewelt,Goalkeeper,1.83 m6-0,64 kg141 lbs,9/23/1996      ,"Gdynia, Poland "
1,1,Jordan Pickford,Goalkeeper,1.85 m6-1,72 kg159 lbs,3/7/1994      ,"Washington, England "
2,22,Maarten Stekelenburg,Goalkeeper,1.97 m6-6,92 kg203 lbs,9/22/1982      ,"Haarlem, Netherlands "
3,33,João Virgínia,Goalkeeper,1.90 m6-3,80 kg176 lbs,10/10/1999      ,"Faro, Portugal "
4,3,Leighton Baines,Defender,1.70 m5-7,70 kg154 lbs,12/11/1984      ,"Kirkby, England "
5,35,Tyias Browning,Defender,1.81 m5-11,76 kg168 lbs,5/27/1994      ,"Liverpool, England "
6,23,Seamus Coleman,Defender,1.93 m6-4,67 kg148 lbs,10/11/1988      ,"Donegal, Ireland "
7,12,Lucas Digne,Defender,1.78 m5-10,74 kg163 lbs,7/20/1993      ,"Meaux, France "
8,6,Phil Jagielka,Defender,1.80 m5-11,87 kg192 lbs,8/17/1982      ,"Sale, England "
9,4,Michael Keane,Defender,1.91 m6-3,82 kg181 lbs,1/11/1993      ,"Stockport, England "
10,43,Jonjoe Kenny,Defender,1.76 m5-9,67 kg148 lbs,3/15/1997      ,"Kirkdale, England "
11,13,Yerry Mina,Defender,1.94 m6-4,95 kg209 lbs,9/23/1994      ,"Guachene, Colombia "
12,5,Kurt Zouma,Defender,1.90 m6-3,92 kg203 lbs,10/27/1994      ,"Lyon, France "
13,20,Bernard,Midfielder,1.64 m5-5,52 kg115 lbs,9/8/1992      ,"Belo Horizonte, Brazil "
14,26,Tom Davies,Midfielder,1.80 m5-11,70 kg154 lbs,6/30/1998      ,"Liverpool, England "
15,8,André Gomes,Midfielder,1.88 m6-2,84 kg185 lbs,7/30/1993      ,"Vila Nova de Gaia, Portugal "
16,17,Idrissa Gueye,Midfielder,1.74 m5-9,64 kg141 lbs,9/26/1989      ,"Dakar, Senegal "
17,16,James McCarthy,Midfielder,1.80 m5-11,72 kg159 lbs,11/12/1990      ,"Glasgow, Scotland "
18,18,Morgan Schneiderlin,Midfielder,1.81 m5-11,75 kg165 lbs,11/8/1989      ,"Zellwiller, France "
19,10,Gylfi Sigurdsson,Midfielder,1.86 m6-1,82 kg181 lbs,9/8/1989      ,"Reykjavik, Iceland "
20,29,Dominic Calvert-Lewin,Forward,1.76 m5-9,64 kg141 lbs,3/16/1997      ,"Sheffield, England "
21,31,Ademola Lookman,Forward,1.74 m5-9,78 kg172 lbs,10/20/1997      ,"Wandsworth, England "
22,30,Richarlison,Forward,1.79 m5-10,71 kg157 lbs,5/10/1997      ,"Nova Venecia, Brazil "
23,14,Cenk Tosun,Forward,1.83 m6-0,78 kg172 lbs,6/7/1991      ,"Wetzlar, Germany "
24,11,Theo Walcott,Forward,1.75 m5-9,68 kg150 lbs,3/16/1989      ,"Middlesex, England "
