,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,50,Luca Ashby-Hammond,Goalkeeper,1.84 m6-0,75 kg165 lbs,3/25/2001      ,"Kingston upon Thames, England "
1,1,Marcus Bettinelli,Goalkeeper,1.94 m6-4,82 kg181 lbs,5/24/1992      ,"Camberwell, England "
2,31,Fabri,Goalkeeper,1.85 m6-1,67 kg148 lbs,12/31/1987      ,"Vecindario, Spain "
3,25,Sergio Rico,Goalkeeper,1.94 m6-4,90 kg198 lbs,9/1/1993      ,"Sevilla, Spain "
4,23,Joe Bryan,Defender,1.70 m5-7,72 kg159 lbs,9/17/1993      ,"Bristol, England "
5,5,Calum Chambers,Defender,1.82 m6-0,66 kg146 lbs,1/20/1995      ,"Petersfield, England "
6,22,Cyrus Christie,Defender,1.88 m6-2,78 kg172 lbs,9/30/1992      ,"Coventry, England "
7,21,Timothy Fosu-Mensah,Defender,1.90 m6-3,79 kg174 lbs,1/2/1998      ,"Amsterdam, Netherlands "
8,20,Maxime Le Marchand,Defender,1.85 m6-1,77 kg170 lbs,10/11/1989      ,"Saint-Malo, France "
9,26,Alfie Mawson,Defender,1.82 m6-0,81 kg179 lbs,1/19/1994      ,"Hillingdon, England "
10,4,Denis Odoi,Defender,1.78 m5-10,72 kg159 lbs,5/27/1988      ,"Leuven, Belgium "
11,13,Tim Ream,Defender,1.86 m6-1,79 kg174 lbs,10/5/1987      ,"St. Louis, Missouri "
12,3,Ryan Sessegnon,Defender,1.78 m5-10,71 kg157 lbs,5/18/2000      ,"Roehampton, England "
13,43,Steven Sessegnon,Defender,1.73 m5-8,66 kg146 lbs,5/18/2000      ,"Roehampton, England "
14,10,Tom Cairney,Midfielder,1.86 m6-1,84 kg185 lbs,1/20/1991      ,"Nottingham, England "
15,44,Ibrahima Cissé,Midfielder,1.80 m5-11,84 kg185 lbs,2/28/1994      ,"Liege, Belgium "
16,36,Luca De La Torre,Midfielder,1.77 m5-10,68 kg150 lbs,5/23/1998      ,"San Diego, California "
17,7,Neeskens Kebano,Midfielder,1.70 m5-7,65 kg143 lbs,3/10/1992      ,"Montereau, France "
18,30,Lazar Markovic,Midfielder,1.75 m5-9,65 kg143 lbs,3/2/1994      ,"Cacak, Yugoslavia "
19,6,Kevin McDonald,Midfielder,1.92 m6-4,95 kg209 lbs,11/4/1988      ,"Carnoustie, Scotland "
20,,Håvard Nordtveit,Midfielder,1.88 m6-2,83 kg183 lbs,6/21/1990      ,"Vats, Norway "
21,33,Matt O'Riley,Midfielder,1.87 m6-2,77 kg170 lbs,11/21/2000      ,"Hounslow, England "
22,14,André Schürrle,Midfielder,1.84 m6-0,73 kg161 lbs,11/6/1990      ,"Ludwigshafen, Germany "
23,24,Jean Michael Seri,Midfielder,1.68 m5-6,65 kg143 lbs,7/19/1991      ,"Grand-Bereby, Ivory Coast "
24,29,André-Frank Zambo Anguissa,Midfielder,1.84 m6-0,78 kg172 lbs,11/16/1995      ,"Yaounde, Cameroon "
25,11,Floyd Ayité,Forward,1.75 m5-9,74 kg163 lbs,12/15/1988      ,"Bordeaux, France "
26,12,Ryan Babel,Forward,1.85 m6-1,85 kg187 lbs,12/19/1986      ,"Amsterdam, Netherlands "
27,56,Harvey Elliott,Forward,,,4/4/2003      ,England 
28,9,Aleksandar Mitrovic,Forward,1.89 m6-2,82 kg181 lbs,9/16/1994      ,"Smederevo, Yugoslavia "
29,19,Luciano Vietto,Forward,1.74 m5-9,69 kg152 lbs,12/5/1993      ,"Balnearia, Argentina "
