,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,12,Joel Coleman,Goalkeeper,1.98 m6-6,82 kg181 lbs,9/26/1995      ,"Bolton, England "
1,12,Ben Hamer,Goalkeeper,1.92 m6-4,91 kg201 lbs,11/20/1987      ,"Taunton, England "
2,1,Jonas Lössl,Goalkeeper,1.95 m6-5,90 kg198 lbs,2/1/1989      ,"Kolding, Denmark "
3,37,Erik Durm,Defender,1.83 m6-0,72 kg159 lbs,5/12/1992      ,"Pirmasens, Germany "
4,27,Jon Gorenc Stankovic,Defender,1.90 m6-3,78 kg172 lbs,1/14/1996      ,"Ljubljana, Slovenia "
5,33,Florent Hadergjonaj,Defender,1.82 m6-0,73 kg161 lbs,7/31/1994      ,"Langnau, Switzerland "
6,5,Terence Kongolo,Defender,1.88 m6-2,70 kg154 lbs,2/14/1994      ,"Fribourg, Switzerland "
7,15,Chris Löwe,Defender,1.75 m5-9,68 kg150 lbs,4/16/1989      ,"Plauen, East Germany "
8,26,Christopher Schindler,Defender,1.89 m6-2,77 kg170 lbs,4/29/1990      ,"Munich, West Germany "
9,2,Tommy Smith,Defender,1.86 m6-1,84 kg185 lbs,4/14/1992      ,"Warrington, England "
10,25,Zanka,Defender,1.91 m6-3,85 kg187 lbs,4/23/1990      ,"Copenhagen, Denmark "
11,7,Juninho Bacuna,Midfielder,1.85 m6-1,78 kg172 lbs,8/7/1997      ,"Groningen, Netherlands "
12,8,Philip Billing,Midfielder,1.93 m6-4,80 kg176 lbs,6/11/1996      ,Denmark 
13,11,Adama Diakhaby,Midfielder,1.88 m6-2,74 kg163 lbs,7/5/1996      ,"Ajaccio, France "
14,6,Jonathan Hogg,Midfielder,1.70 m5-7,73 kg161 lbs,12/6/1988      ,"Middlesbrough, England "
15,9,Elias Kachunga,Midfielder,1.78 m5-10,64 kg141 lbs,4/22/1992      ,"Cologne, Germany "
16,10,Aaron Mooy,Midfielder,1.73 m5-8,72 kg159 lbs,9/15/1990      ,"Sydney, Australia "
17,21,Alex Pritchard,Midfielder,1.71 m5-7,62 kg137 lbs,5/3/1993      ,"Orsett, England "
18,42,Jason Puncheon,Midfielder,1.73 m5-8,71 kg157 lbs,6/26/1986      ,"Croydon, England "
19,29,Abdelhamid Sabiri,Midfielder,1.83 m6-0,80 kg176 lbs,11/28/1996      ,"Goulmima, Morocco "
20,19,Danny Williams,Midfielder,1.82 m6-0,76 kg168 lbs,3/8/1989      ,"Karlsruhe, West Germany "
21,20,Laurent Depoitre,Forward,1.91 m6-3,96 kg212 lbs,12/7/1988      ,"Tournai, Belgium "
22,16,Karlan Grant,Forward,1.83 m6-0,70 kg154 lbs,12/19/1997      ,"Greenwich, England "
23,18,Isaac Mbenza,Forward,1.87 m6-2,77 kg170 lbs,3/8/1996      ,"Saint-Denis, Belgium "
24,24,Steve Mounie,Forward,1.90 m6-3,83 kg183 lbs,9/29/1994      ,"Parakou, Benin "
