,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,17,Eldin Jakupovic,Goalkeeper,1.91 m6-3,85 kg187 lbs,10/2/1984      ,"Sarajevo, Yugoslavia "
1,1,Kasper Schmeichel,Goalkeeper,1.90 m6-3,92 kg203 lbs,11/5/1986      ,"Copenhagen, Denmark "
2,12,Danny Ward,Goalkeeper,1.92 m6-4,88 kg194 lbs,6/22/1993      ,"Wrexham, Wales "
3,3,Ben Chilwell,Defender,1.78 m5-10,77 kg170 lbs,12/21/1996      ,"Bedford, England "
4,6,Jonny Evans,Defender,1.88 m6-2,77 kg170 lbs,1/3/1988      ,"Belfast, Northern Ireland "
5,28,Christian Fuchs,Defender,1.87 m6-2,89 kg196 lbs,4/7/1986      ,"Neunkirchen, Austria "
6,15,Harry Maguire,Defender,1.93 m6-4,98 kg216 lbs,3/5/1993      ,"Sheffield, England "
7,5,Wes Morgan,Defender,1.87 m6-2,101 kg223 lbs,1/21/1984      ,"Nottingham, England "
8,14,Ricardo Pereira,Defender,1.74 m5-9,70 kg154 lbs,10/6/1993      ,"Lisbon, Portugal "
9,2,Danny Simpson,Defender,1.76 m5-9,80 kg176 lbs,1/4/1987      ,"Salford, England "
10,4,Caglar Söyüncü,Defender,1.87 m6-2,82 kg181 lbs,5/23/1996      ,"Izmir, Turkey "
11,11,Marc Albrighton,Midfielder,1.75 m5-9,74 kg163 lbs,11/18/1989      ,"Tamworth, England "
12,18,Daniel Amartey,Midfielder,1.86 m6-1,79 kg174 lbs,12/21/1994      ,"Accra, Ghana "
13,19,Harvey Barnes,Midfielder,1.81 m5-11,66 kg146 lbs,12/9/1997      ,"Burnley, England "
14,38,Hamza Choudhury,Midfielder,1.78 m5-10,64 kg141 lbs,10/1/1997      ,"Loughborough, England "
15,31,Rachid Ghezzal,Midfielder,1.82 m6-0,70 kg154 lbs,5/9/1992      ,"Decines-Charpieu, France "
16,7,Demarai Gray,Midfielder,,,6/28/1996      ,"Birmingham, England "
17,22,Matty James,Midfielder,1.81 m5-11,86 kg190 lbs,7/22/1991      ,"Bacup, England "
18,59,Thakgalo Leshabela,Midfielder,,,9/18/1999      , 
19,10,James Maddison,Midfielder,1.75 m5-9,73 kg161 lbs,11/23/1996      ,"Coventry, England "
20,24,Nampalys Mendy,Midfielder,1.68 m5-6,68 kg150 lbs,6/23/1992      ,"La Seyne-sur-Mer, France "
21,25,Wilfred Ndidi,Midfielder,1.84 m6-0,73 kg161 lbs,12/16/1996      ,"Lagos, Nigeria "
22,21,Youri Tielemans,Midfielder,1.76 m5-9,72 kg159 lbs,5/7/1997      ,"Sint-Pieters-Leeuw, Belgium "
23,8,Kelechi Iheanacho,Forward,1.83 m6-0,80 kg176 lbs,3/10/1996      ,"Imo, Nigeria "
24,20,Shinji Okazaki,Forward,1.74 m5-9,70 kg154 lbs,4/16/1986      ,"Takarazuka, Japan "
25,9,Jamie Vardy,Forward,1.78 m5-10,80 kg176 lbs,1/11/1987      ,"Sheffield, England "
