,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,13,Alisson,Goalkeeper,1.93 m6-4,91 kg201 lbs,10/2/1992      ,"Novo Hamburgo, Brazil "
1,62,Caoimhin Kelleher,Goalkeeper,,,11/23/1998      ,"Cork, Ireland "
2,22,Simon Mignolet,Goalkeeper,1.93 m6-4,87 kg192 lbs,3/6/1988      ,"Sint-Truiden, Belgium "
3,66,Trent Alexander-Arnold,Defender,1.75 m5-9,70 kg154 lbs,10/7/1998      ,"Liverpool, England "
4,3,Fabinho,Defender,1.88 m6-2,78 kg172 lbs,10/23/1993      ,"Campinas, Brazil "
5,12,Joseph Gomez,Defender,1.85 m6-1,77 kg170 lbs,5/23/1997      ,"Catford, England "
6,6,Dejan Lovren,Defender,1.88 m6-2,84 kg185 lbs,7/5/1989      ,"Zenica, Yugoslavia "
7,32,Joel Matip,Defender,1.95 m6-5,90 kg198 lbs,8/8/1991      ,"Bochum, Germany "
8,18,Alberto Moreno,Defender,1.71 m5-7,65 kg143 lbs,7/5/1992      ,"Seville, Spain "
9,47,Nathaniel Phillips,Defender,,,3/21/1997      ,"Bolton, England "
10,26,Andrew Robertson,Defender,1.78 m5-10,64 kg141 lbs,3/11/1994      ,"Glasgow, Scotland "
11,4,Virgil van Dijk,Defender,1.93 m6-4,92 kg203 lbs,7/8/1991      ,"Breda, Netherlands "
12,64,Rafael Camacho,Midfielder,1.75 m5-9,68 kg150 lbs,5/22/2000      ,Lisbon 
13,68,Pedro Chirivella,Midfielder,1.78 m5-10,70 kg154 lbs,5/23/1997      ,"Valencia, Spain "
14,14,Jordan Henderson,Midfielder,1.83 m6-0,82 kg181 lbs,6/17/1990      ,"Sunderland, England "
15,48,Curtis Jones,Midfielder,,,1/30/2001      ,"Liverpool, England "
16,8,Naby Keita,Midfielder,1.72 m5-8,64 kg141 lbs,2/10/1995      ,"Conakry, Guinea "
17,20,Adam Lallana,Midfielder,1.72 m5-8,73 kg161 lbs,5/10/1988      ,"St. Albans, England "
18,7,James Milner,Midfielder,1.76 m5-9,70 kg154 lbs,1/4/1986      ,"Horsforth, England "
19,21,Alex Oxlade-Chamberlain,Midfielder,1.80 m5-11,70 kg154 lbs,8/15/1993      ,"Portsmouth, England "
20,23,Xherdan Shaqiri,Midfielder,1.65 m5-5,78 kg172 lbs,10/10/1991      ,"Gnjilane, Yugoslavia "
21,5,Georginio Wijnaldum,Midfielder,1.75 m5-9,74 kg163 lbs,11/11/1990      ,"Rotterdam, Netherlands "
22,24,Rhian Brewster,Forward,1.80 m5-11,75 kg165 lbs,4/1/2000      ,"Redbridge, England "
23,9,Roberto Firmino,Forward,1.81 m5-11,76 kg168 lbs,10/2/1991      ,"Maceio, Brazil "
24,10,Sadio Mané,Forward,1.75 m5-9,69 kg152 lbs,4/10/1992      ,"Sedhiou, Senegal "
25,27,Divock Origi,Forward,1.85 m6-1,75 kg165 lbs,4/18/1995      ,"Ostend, Belgium "
26,11,Mohamed Salah,Forward,1.75 m5-9,71 kg157 lbs,6/15/1992      ,"Basyoun, Egypt "
27,15,Daniel Sturridge,Forward,1.88 m6-2,76 kg168 lbs,9/1/1989      ,"Birmingham, England "
