,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,26,Karl Darlow,Goalkeeper,1.85 m6-1,79 kg174 lbs,10/8/1990      ,"Northampton, England "
1,12,Martin Dubravka,Goalkeeper,1.90 m6-3,80 kg176 lbs,1/15/1989      ,"Zilina, Czechoslovakia "
2,1,Robert Elliot,Goalkeeper,1.90 m6-3,98 kg216 lbs,4/30/1986      ,"Greenwich, England "
3,29,Nathan Harker,Goalkeeper,,,11/5/1998      ,England 
4,41,Freddie Woodman,Goalkeeper,1.90 m6-3,69 kg152 lbs,3/4/1997      ,"London, England "
5,23,Antonio Barreca,Defender,1.80 m5-11,70 kg154 lbs,3/18/1995      ,"Turin, Italy "
6,2,Ciaran Clark,Defender,1.88 m6-2,76 kg168 lbs,9/26/1989      ,"Harrow, England "
7,3,Paul Dummett,Defender,1.83 m6-0,77 kg170 lbs,9/26/1991      ,"Newcastle, England "
8,18,Federico Fernández,Defender,1.90 m6-3,83 kg183 lbs,2/21/1989      ,"Tres Algarrobos, Argentina "
9,6,Jamaal Lascelles,Defender,1.89 m6-2,83 kg183 lbs,11/11/1993      ,"Derby, England "
10,20,Florian Lejeune,Defender,1.90 m6-3,81 kg179 lbs,5/20/1991      ,"Paris, France "
11,19,Javier Manquillo,Defender,1.80 m5-11,75 kg165 lbs,5/5/1994      ,"Madrid, Spain "
12,5,Fabian Schär,Defender,1.86 m6-1,83 kg183 lbs,12/20/1991      ,"Wil, Switzerland "
13,22,DeAndre Yedlin,Defender,1.73 m5-8,73 kg161 lbs,7/9/1993      ,"Seattle, Washington "
14,24,Miguel Almiron,Midfielder,1.75 m5-9,64 kg141 lbs,2/10/1994      ,"Asuncion, Paraguay "
15,30,Christian Atsu,Midfielder,1.72 m5-8,68 kg150 lbs,1/10/1992      ,"Ada Foah, Ghana "
16,14,Kieran Cummings,Midfielder,,,, 
17,10,Mohamed Diamé,Midfielder,1.84 m6-0,80 kg176 lbs,6/14/1987      ,"Creteil, France "
18,14,Isaac Hayden,Midfielder,1.87 m6-2,79 kg174 lbs,3/22/1995      ,"Chelmsford, England "
19,18,Jack Henchcliffe,Midfielder,,,, 
20,15,Kenedy,Midfielder,1.82 m6-0,77 kg170 lbs,2/8/1996      ,"Santa Rita do Sapucai, Brazil "
21,4,Sung-yueng Ki,Midfielder,1.86 m6-1,75 kg165 lbs,1/24/1989      ,"Gwanju, South Korea "
22,36,Sean Longstaff,Midfielder,1.81 m5-11,73 kg161 lbs,10/30/1997      ,"Newcastle, England "
23,10,Elliott Reeves,Midfielder,,,, 
24,11,Matt Ritchie,Midfielder,1.73 m5-8,70 kg154 lbs,9/10/1989      ,"Gosport, England "
25,8,Jonjo Shelvey,Midfielder,1.85 m6-1,80 kg176 lbs,2/27/1992      ,"Harold Hill, England "
26,6,Elliot Ward,Midfielder,,,, 
27,21,Joselu,Forward,1.91 m6-3,80 kg176 lbs,3/27/1990      ,"Stuttgart, West Germany "
28,13,Yoshinori Muto,Forward,1.79 m5-10,72 kg159 lbs,7/15/1992      ,"Tokyo, Japan "
29,17,Ayoze Pérez,Forward,1.79 m5-10,66 kg146 lbs,7/29/1993      ,"Santa Cruz de Tenerife, Spain "
30,9,Salomón Rondón,Forward,1.86 m6-1,86 kg190 lbs,9/16/1989      ,"Caracas, Venezuela "
