,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,44,Fraser Forster,Goalkeeper,2.01 m6-7,93 kg205 lbs,3/17/1988      ,"Hexham, England "
1,28,Angus Gunn,Goalkeeper,1.96 m6-5,77 kg170 lbs,1/22/1996      ,"Norwich, England "
2,41,Harry Lewis,Goalkeeper,1.91 m6-3,77 kg170 lbs,12/20/1997      ,"Shrewsbury, England "
3,1,Alex McCarthy,Goalkeeper,1.93 m6-4,79 kg174 lbs,12/3/1989      ,"Guildford, England "
4,35,Jan Bednarek,Defender,1.89 m6-2,77 kg170 lbs,4/12/1996      ,"Slupca, Poland "
5,21,Ryan Bertrand,Defender,1.79 m5-10,85 kg187 lbs,8/5/1989      ,"Southwark, England "
6,32,Alfie Jones,Defender,1.91 m6-3,67 kg148 lbs,10/7/1997      ,"Bristol, England "
7,66,Kayne Ramsay,Defender,,,10/10/2000      , 
8,5,Jack Stephens,Defender,1.85 m6-1,75 kg165 lbs,1/27/1994      ,"Torpoint, England "
9,33,Matt Targett,Defender,1.83 m6-0,70 kg154 lbs,9/18/1995      ,"Eastleigh, England "
10,43,Yan Valery,Defender,1.80 m5-11,85 kg187 lbs,2/22/1999      ,"Champigny-sur-Marne, France "
11,4,Jannik Vestergaard,Defender,2.00 m6-7,98 kg216 lbs,8/3/1992      ,"Hvidovre, Denmark "
12,3,Maya Yoshida,Defender,1.89 m6-2,78 kg172 lbs,8/24/1988      ,"Nagasaki, Japan "
13,17,Stuart Armstrong,Midfielder,1.83 m6-0,75 kg165 lbs,3/30/1992      ,"Inverness, Scotland "
14,11,Mohamed Elyounoussi,Midfielder,1.78 m5-10,70 kg154 lbs,8/4/1994      ,"El Hoceima, Morocco "
15,23,Pierre-Emile Højbjerg,Midfielder,1.85 m6-1,84 kg185 lbs,8/5/1995      ,"Copenhagen, Denmark "
16,18,Mario Lemina,Midfielder,1.84 m6-0,85 kg187 lbs,9/1/1993      ,"Libreville, Gabon "
17,22,Nathan Redmond,Midfielder,1.73 m5-8,69 kg152 lbs,3/6/1994      ,"Birmingham, England "
18,14,Oriol Romeu,Midfielder,1.83 m6-0,83 kg183 lbs,9/24/1991      ,"Ulldecona, Spain "
19,39,Josh Sims,Midfielder,1.74 m5-9,67 kg148 lbs,3/28/1997      ,"Yeovil, England "
20,55,Callum Slattery,Midfielder,,,2/8/1999      ,England 
21,16,James Ward-Prowse,Midfielder,1.73 m5-8,66 kg146 lbs,11/1/1994      ,"Southampton, England "
22,10,Charlie Austin,Forward,1.88 m6-2,84 kg185 lbs,7/5/1989      ,"Hungerford, England "
23,65,Marcus Barnes,Forward,1.85 m6-1,72 kg159 lbs,12/1/1996      ,England 
24,15,Sam Gallagher,Forward,1.94 m6-4,75 kg165 lbs,9/15/1995      ,"Crediton, England "
25,9,Danny Ings,Forward,1.78 m5-10,73 kg161 lbs,7/23/1992      ,"Winchester, England "
26,51,Tyreke Johnson,Forward,,,11/3/1998      ,England 
27,7,Shane Long,Forward,1.78 m5-10,70 kg154 lbs,1/22/1987      ,"Gortnahoe, Ireland "
28,61,Michael Obafemi,Forward,,,7/6/2000      ,Ireland 
