,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,22,Paulo Gazzaniga,Goalkeeper,1.96 m6-5,90 kg198 lbs,1/2/1992      ,"Murphy, Argentina "
1,1,Hugo Lloris,Goalkeeper,1.88 m6-2,82 kg181 lbs,12/26/1986      ,"Nice, France "
2,13,Michel Vorm,Goalkeeper,1.84 m6-0,84 kg185 lbs,10/20/1983      ,"IJsselstein, Netherlands "
3,41,Alfie Whiteman,Goalkeeper,1.90 m6-3,77 kg170 lbs,10/2/1998      ,"Tottenham, England "
4,4,Toby Alderweireld,Defender,1.86 m6-1,81 kg179 lbs,3/2/1989      ,"Wilrijk, Belgium "
5,24,Serge Aurier,Defender,1.76 m5-9,76 kg168 lbs,12/24/1992      ,"Ouragahio, Ivory Coast "
6,33,Ben Davies,Defender,1.82 m6-0,76 kg168 lbs,4/24/1993      ,"Neath, Wales "
7,53,Timothy Eyoma,Defender,1.80 m5-11,,1/29/2000      ,England 
8,21,Juan Foyth,Defender,1.79 m5-10,69 kg152 lbs,1/12/1998      ,"La Plata, Argentina "
9,3,Danny Rose,Defender,1.73 m5-8,76 kg168 lbs,7/2/1990      ,"Doncaster, England "
10,6,Davinson Sánchez,Defender,1.87 m6-2,81 kg179 lbs,6/12/1996      ,"Caloto, Colombia "
11,2,Kieran Trippier,Defender,1.78 m5-10,72 kg159 lbs,9/19/1990      ,"Bury, England "
12,5,Jan Vertonghen,Defender,1.89 m6-2,86 kg190 lbs,4/24/1987      ,"Sint-Niklaas, Belgium "
13,16,Kyle Walker-Peters,Defender,1.74 m5-9,64 kg141 lbs,4/13/1997      ,"London, England "
14,20,Dele Alli,Midfielder,1.88 m6-2,76 kg168 lbs,4/11/1996      ,"Milton Keynes, England "
15,40,Luke Amos,Midfielder,1.79 m5-10,72 kg159 lbs,2/23/1997      ,"London, England "
16,15,Eric Dier,Midfielder,1.88 m6-2,90 kg198 lbs,1/15/1994      ,"Cheltenham, England "
17,23,Christian Eriksen,Midfielder,1.81 m5-11,76 kg168 lbs,2/14/1992      ,"Middelfart, Denmark "
18,11,Erik Lamela,Midfielder,1.81 m5-11,80 kg176 lbs,3/4/1992      ,"Buenos Aires, Argentina "
19,27,Lucas Moura,Midfielder,1.72 m5-8,72 kg159 lbs,8/13/1992      ,"Sao Paulo, Brazil "
20,47,George Marsh,Midfielder,1.64 m5-5,,11/5/1998      ,England 
21,17,Moussa Sissoko,Midfielder,1.87 m6-2,91 kg201 lbs,8/16/1989      ,"Le Blanc-Mesnil, France "
22,52,Oliver Skipp,Midfielder,,,9/16/2000      ,England 
23,12,Victor Wanyama,Midfielder,1.84 m6-0,87 kg192 lbs,6/25/1991      ,"Nairobi, Kenya "
24,8,Harry Winks,Midfielder,1.76 m5-9,74 kg163 lbs,2/2/1996      ,"Hemel Hempstead, England "
25,9,Vincent Janssen,Forward,1.83 m6-0,88 kg194 lbs,6/15/1994      ,"Oss, Netherlands "
26,10,Harry Kane,Forward,1.88 m6-2,98 kg216 lbs,7/28/1993      ,"Walthamstow, England "
27,18,Fernando Llorente,Forward,1.93 m6-4,88 kg194 lbs,2/26/1985      ,"Pamplona, Spain "
28,7,Heung-Min Son,Forward,1.83 m6-0,76 kg168 lbs,7/8/1992      ,"Chuncheon, South Korea "
