,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,30,Pontus Dahlberg,Goalkeeper,1.95 m6-5,90 kg198 lbs,1/21/1999      ,"Gothenburg, Sweden "
1,26,Ben Foster,Goalkeeper,1.93 m6-4,90 kg198 lbs,4/3/1983      ,"Leamington, England "
2,1,Heurelho Gomes,Goalkeeper,1.97 m6-6,95 kg209 lbs,2/15/1981      ,"Joao Pinheiro, Brazil "
3,3,Miguel Britos,Defender,1.90 m6-3,85 kg187 lbs,7/17/1985      ,"Maldonado, Uruguay "
4,15,Craig Cathcart,Defender,1.90 m6-3,83 kg183 lbs,2/6/1989      ,"Belfast, Northern Ireland "
5,21,Kiko Femenía,Defender,1.74 m5-9,61 kg134 lbs,2/2/1991      ,"Sanet y Negrals, Spain "
6,25,José Holebas,Defender,1.85 m6-1,81 kg179 lbs,6/27/1984      ,"Aschaffenburg, West Germany "
7,2,Daryl Janmaat,Defender,1.85 m6-1,80 kg176 lbs,7/22/1989      ,"Leidschendam, Netherlands "
8,27,Christian Kabasele,Defender,1.88 m6-2,86 kg190 lbs,2/24/1991      ,"Lubumbashi, DR Congo "
9,6,Adrian Mariappa,Defender,1.80 m5-11,78 kg172 lbs,10/3/1986      ,"Harrow, England "
10,11,Adam Masina,Defender,1.91 m6-3,87 kg192 lbs,1/2/1994      ,"Khouribga, Morocco "
11,23,Marc Navarro,Defender,1.88 m6-2,79 kg174 lbs,7/2/1995      ,"Barcelona, Spain "
12,5,Sebastian Prödl,Defender,1.96 m6-5,97 kg214 lbs,6/21/1987      ,"Graz, Austria "
13,29,Etienne Capoue,Midfielder,1.90 m6-3,87 kg192 lbs,7/11/1988      ,"Niort, France "
14,14,Nathaniel Chalobah,Midfielder,1.85 m6-1,76 kg168 lbs,12/12/1994      ,"Freetown, Sierra Leone "
15,8,Tom Cleverley,Midfielder,1.75 m5-9,67 kg148 lbs,8/12/1989      ,"Basingstoke, England "
16,16,Abdoulaye Doucouré,Midfielder,1.84 m6-0,76 kg168 lbs,1/1/1993      ,"Meulan-en-Yvelines, France "
17,19,Will Hughes,Midfielder,1.85 m6-1,74 kg163 lbs,4/17/1995      ,"Surrey, England "
18,37,Roberto Pereyra,Midfielder,1.82 m6-0,77 kg170 lbs,1/7/1991      ,"San Miguel de Tucuman, Argentina "
19,20,Domingos Quina,Midfielder,1.73 m5-8,72 kg159 lbs,11/18/1999      ,"Bissau, Portugal "
20,12,Ken Sema,Midfielder,1.77 m5-10,69 kg152 lbs,9/30/1993      ,"Norrkoping, Sweden "
21,9,Troy Deeney,Forward,1.85 m6-1,101 kg223 lbs,6/29/1988      ,"Birmingham, England "
22,7,Gerard Deulofeu,Forward,1.77 m5-10,73 kg161 lbs,3/13/1994      ,"Riudarenas, Spain "
23,18,Andre Gray,Forward,1.78 m5-10,83 kg183 lbs,6/26/1991      ,"Wolverhampton, England "
24,17,Adalberto Penaranda,Forward,1.83 m6-0,78 kg172 lbs,5/31/1997      ,"El Vigia, Venezuela "
25,10,Isaac Success,Forward,,,1/7/1996      ,"Benin City, Nigeria "
