,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,13,Adrián,Goalkeeper,1.90 m6-3,80 kg176 lbs,1/3/1987      ,"Seville, Spain "
1,1,Lukasz Fabianski,Goalkeeper,1.90 m6-3,83 kg183 lbs,4/18/1985      ,"Kostrzyn Nad Odra, Poland "
2,4,Fabián Balbuena,Defender,1.88 m6-2,85 kg187 lbs,8/23/1991      ,"Ciudad del Este, Paraguay "
3,3,Aaron Cresswell,Defender,1.70 m5-7,66 kg146 lbs,12/15/1989      ,"Liverpool, England "
4,23,Issa Diop,Defender,1.94 m6-4,92 kg203 lbs,1/9/1997      ,"Toulouse, France "
5,26,Arthur Masuaku,Defender,1.79 m5-10,70 kg154 lbs,11/7/1993      ,"Lille, France "
6,21,Angelo Ogbonna,Defender,1.91 m6-3,86 kg190 lbs,5/23/1988      ,"Cassino, Italy "
7,2,Winston Reid,Defender,1.90 m6-3,87 kg192 lbs,7/3/1988      ,"North Shore, New Zealand "
8,5,Pablo Zabaleta,Defender,1.74 m5-9,74 kg163 lbs,1/16/1985      ,"Buenos Aires, Argentina "
9,54,Conor Coventry,Midfielder,,,3/25/2000      ,Ireland 
10,24,Ryan Fredericks,Midfielder,1.81 m5-11,74 kg163 lbs,10/10/1992      ,"Potters Bar, England "
11,37,Nathan Holland,Midfielder,,,6/19/1998      ,"Wythenshawe, England "
12,10,Manuel Lanzini,Midfielder,1.67 m5-6,66 kg146 lbs,2/15/1993      ,"Ituzaingo, Argentina "
13,18,Samir Nasri,Midfielder,1.77 m5-10,75 kg165 lbs,6/26/1987      ,"Marseille, France "
14,16,Mark Noble,Midfielder,1.80 m5-11,70 kg154 lbs,5/8/1987      ,"Canning Town, England "
15,14,Pedro Obiang,Midfielder,1.85 m6-1,75 kg165 lbs,3/27/1992      ,"Alcala de Henares, Spain "
16,41,Declan Rice,Midfielder,1.85 m6-1,80 kg176 lbs,1/14/1999      ,"London, England "
17,15,Carlos Sánchez,Midfielder,1.82 m6-0,82 kg181 lbs,2/6/1986      ,"Quibdo, Colombia "
18,11,Robert Snodgrass,Midfielder,1.83 m6-0,82 kg181 lbs,9/7/1987      ,"Glasgow, Scotland "
19,19,Jack Wilshere,Midfielder,1.70 m5-7,65 kg143 lbs,1/1/1992      ,"Stevenage, England "
20,30,Michail Antonio,Forward,1.80 m5-11,82 kg181 lbs,3/28/1990      ,"London, England "
21,7,Marko Arnautovic,Forward,1.92 m6-4,83 kg183 lbs,4/19/1989      ,"Vienna, Austria "
22,9,Andy Carroll,Forward,1.93 m6-4,79 kg174 lbs,1/6/1989      ,"Gateshead, England "
23,45,Grady Diangana,Forward,1.80 m5-11,73 kg161 lbs,4/19/1998      ,England 
24,8,Felipe Anderson,Forward,1.75 m5-9,70 kg154 lbs,4/15/1993      ,"Brasilia, Brazil "
25,17,Javier Hernández,Forward,1.75 m5-9,71 kg157 lbs,6/1/1988      ,"Guadalajara, Mexico "
26,27,Lucas Pérez,Forward,1.80 m5-11,82 kg181 lbs,9/10/1988      ,"A Coruna, Spain "
27,32,Xande Silva,Forward,1.77 m5-10,68 kg150 lbs,3/16/1997      ,"Lisbon, Portugal "
28,20,Andriy Yarmolenko,Forward,1.90 m6-3,83 kg183 lbs,10/23/1989      ,"St. Petersburg, USSR "
