,1_num,2_Name,3_Position,4_Height,5_Weight,6_BirthDate,7_Birthplace
0,31,Will Norris,Goalkeeper,1.91 m6-3,81 kg179 lbs,8/12/1993      ,"Royston, England "
1,11,Rui Patrício,Goalkeeper,1.89 m6-2,84 kg185 lbs,2/15/1988      ,"Marrazes, Portugal "
2,21,John Ruddy,Goalkeeper,1.93 m6-4,97 kg214 lbs,10/24/1986      ,"St Ives, England "
3,5,Ryan Bennett,Defender,1.89 m6-2,90 kg198 lbs,3/6/1990      ,"Orsett, England "
4,15,Willy Boly,Defender,1.95 m6-5,97 kg214 lbs,2/3/1991      ,"Melun, France "
5,16,Conor Coady,Defender,1.86 m6-1,80 kg176 lbs,2/25/1993      ,"Liverpool, England "
6,2,Matt Doherty,Defender,1.86 m6-1,89 kg196 lbs,1/16/1992      ,"Dublin, Ireland "
7,47,Cameron John,Defender,,,8/24/1999      , 
8,19,Jonny,Defender,1.75 m5-9,75 kg165 lbs,3/3/1994      ,"Vigo, Spain "
9,49,Max Kilman,Defender,,,5/23/1997      ,"London, England "
10,29,Rúben Vinagre,Defender,1.74 m5-9,64 kg141 lbs,4/9/1999      ,"Charneca da Caparica, Portugal "
11,32,Leander Dendoncker,Midfielder,1.88 m6-2,76 kg168 lbs,4/15/1995      ,"Passendale, Belgium "
12,17,Morgan Gibbs-White,Midfielder,1.71 m5-7,60 kg132 lbs,1/27/2000      ,"Stafford, England "
13,23,Ryan John Giles,Midfielder,,,1/26/2000      ,England 
14,28,Joao João Moutinho,Midfielder,1.70 m5-7,61 kg134 lbs,9/8/1986      ,"Portimao, Portugal "
15,8,Rúben Neves,Midfielder,1.80 m5-11,80 kg176 lbs,3/13/1997      ,"Mozelos, Portugal "
16,26,Pote,Midfielder,1.73 m5-8,58 kg128 lbs,6/28/1998      ,"Chaves, Portugal "
17,27,Romain Saïss,Midfielder,1.90 m6-3,76 kg168 lbs,3/26/1990      ,"Bourg-de-Peage, France "
18,37,Adama Traoré,Midfielder,1.78 m5-10,76 kg168 lbs,1/25/1996      ,"L'Hospitalet de Llobregat, Spain "
19,25,Elliot Watt,Midfielder,,,3/11/2000      ,"Preston, England "
20,24,Benny Ashley Seal,Forward,,,11/21/1998      , 
21,7,Ivan Cavaleiro,Forward,1.75 m5-9,80 kg176 lbs,10/18/1993      ,"Vila Franca de Xira, Portugal "
22,10,Hélder Costa,Forward,1.79 m5-10,77 kg170 lbs,1/12/1994      ,"Luanda, Angola "
23,18,Diogo Jota,Forward,1.78 m5-10,73 kg161 lbs,12/4/1996      ,"Massarelos, Portugal "
24,9,Raúl Jiménez,Forward,1.88 m6-2,79 kg174 lbs,5/5/1991      ,"Tepeji del Rio, Mexico "
25,,Joe Mason,Forward,1.78 m5-10,73 kg161 lbs,5/13/1991      ,"Plymouth, England "
